author,werk,kapitel,vers,text
Corpus_cpl-129,Übersetzung (Deutsch): Der Tod ein Gut (BKV),"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",2,"Vielleicht wird mir der Einwand gemacht: Kann es denn einen schärferen Gegensatz geben als Leben undS. 373Tod? Wenn nun das Leben ein Gut ist, wie wäre der Tod kein Übel? Wir brauchen aber nur näher festzustellen, was Leben und Tod eigentlich ist, um jenen Einwurf zu beseitigen. Leben heißt äusserlich genommen: athmen; denn mit dem letzten Athemzuge tritt der Tod ein. Man wird nun freilich geneigt sein, diesen Lebensodem als ein Gut zu betrachten und dann so zu schließen: Leben ist der Genuß, Sterben ist der Verlust eines hohen Gutes. So sagt ja auch die Schrift: „Siehe, ich habe euch vorgelegt Leben und Tod, Gutes und Böses.“1Da wird das Leben als ein Gut, der Tod als Übel bezeichnet, und Beides wird zur Wahl gestellt. Im Anschlusse an die heutige Lesung wird auch vielleicht daran erinnert, daß der erste Mensch im Paradiese von allen Bäumen des Gartens, auch vom Baume des Lebens essen sollte; von dem Baume der Erkenntniß des Guten und Bösen aber sollte er nicht essen: an dem Tage, an welchem er davon aß, sollte er des Todes sterben. Der Mensch mißachtete das göttliche Gebot; die Vergeltung blieb ihm nicht aus: aus dem Paradiese verstoßen, mußte er den Tod kosten. So ist denn der Tod ein Übel, weil er die Vollstreckung des Verwerfungurtheils ist."
Corpus_cpl-129,Kommentar (Deutsch): Einleitung zur Schrift Tod ein Gut,Einleitung,,"S. 371Die Abhandlung „de bono mortis“ wird unmittelbar an die Schrift „de Isaac et anima,“ angelehnt und wird mit dieser wohl eine Reihe Predigten darstellen. Der Inhalt ergibt sich hinreichend aus der Überschrift des Buches: der Tod ist kein Übel, endet vielmehr alles Übel: er ist nur für den Gottlosen schrecklich, den Frommen erschließt er den Eintritt zur seligen Anschauung Gottes. — Die Abfassungszeit wird in das Jahr 387 gesetzt werden dürfen."
Corpus_cpl-129,Kommentar (Deutsch): Einleitung zur Schrift Tod ein Gut,Einleitung,,"S. 371Die Abhandlung „de bono mortis“ wird unmittelbar an die Schrift „de Isaac et anima,“ angelehnt und wird mit dieser wohl eine Reihe Predigten darstellen. Der Inhalt ergibt sich hinreichend aus der Überschrift des Buches: der Tod ist kein Übel, endet vielmehr alles Übel: er ist nur für den Gottlosen schrecklich, den Frommen erschließt er den Eintritt zur seligen Anschauung Gottes. — Die Abfassungszeit wird in das Jahr 387 gesetzt werden dürfen."
Corpus_cpl-129,Kommentar (Deutsch): Einleitung zur Schrift Tod ein Gut,Einleitung,,"S. 371Die Abhandlung „de bono mortis“ wird unmittelbar an die Schrift „de Isaac et anima,“ angelehnt und wird mit dieser wohl eine Reihe Predigten darstellen. Der Inhalt ergibt sich hinreichend aus der Überschrift des Buches: der Tod ist kein Übel, endet vielmehr alles Übel: er ist nur für den Gottlosen schrecklich, den Frommen erschließt er den Eintritt zur seligen Anschauung Gottes. — Die Abfassungszeit wird in das Jahr 387 gesetzt werden dürfen."
Corpus_cpl-129,Kommentar (Deutsch): Einleitung zur Schrift Tod ein Gut,Einleitung,,"S. 371Die Abhandlung „de bono mortis“ wird unmittelbar an die Schrift „de Isaac et anima,“ angelehnt und wird mit dieser wohl eine Reihe Predigten darstellen. Der Inhalt ergibt sich hinreichend aus der Überschrift des Buches: der Tod ist kein Übel, endet vielmehr alles Übel: er ist nur für den Gottlosen schrecklich, den Frommen erschließt er den Eintritt zur seligen Anschauung Gottes. — Die Abfassungszeit wird in das Jahr 387 gesetzt werden dürfen."
Corpus_cpl-157,Übersetzung (Deutsch): Über den Tod seines Bruders Satyrus (BKV),1.,1,"[Die fortlaufende Zählung: 1 bis 80 im 1. Buch und im 2. Buch: 1 bis 135 entspricht der Kapiteleinteilung bei Migne MPl tom. 016 c. 1289-1354C].S. 323Wir haben, geliebteste Brüder, mein Opfer hergeleitet; ein unbeflecktes, Gott wohlgefälliges Opfer: meinenHerrn und Bruder Satyrus. Ich hatte wohl daran gedacht, daß er sterblich sei: und die Ahnung hat mich nicht getäuscht; aber überströmend ist auch die Gnade gewesen. Darum finde ich auch Nichts zu beklagen, aber wohl habe ich Grund genug, Dank zu sagen. Stets war es ja mein Wunsch, daß, wenn Leiden entweder der Kirche oder meiner warteten, dieselben eher auf mich und mein Haus fallen möchten. Gott sei also Dank, daß ich bei dem allgemeinen Bangen, wo Alles von den Unternehmungen der Barbaren gefürchtet wurde,1daß ich da durch persönlichen SchmerzS. 324allgemeines Leid vielleicht beseitigt habe, daß auf mich gewendet ist, was ich für Alle fürchtete. Möchte es damit nur genug sein, damit mein persönlicher Schmerz die Abwendung allgemeinen Leides einschließe!"
Corpus_cpl-157,Übersetzung (Deutsch): Über den Tod seines Bruders Satyrus (BKV),1.,2,"Nichts zwar von Allem, was die Erde besitzt, meine Brüder, hatte für mich einen höheren Werth als ein Bruder, wie Satyrus war; Nichts erschien mir liebenswürdiger, Nichts war mir theurer: aber das, was Alle betrifft, drängt das Persönliche zurück. Ja, hätte Jemand die eigene Meinung des Hingeschiedenen erforschen mögen: er hätte gefunden, daß Jener lieber für Andere den Tod zu erleiden gewillt war, als im eigenen Interesse sein Leben zu erhalten. Ist ja auch gerade deßhalb Christus dem Fleische nachfür Allegestorben, damit wir vergäßen, uns allein zu leben."
Corpus_cpl-157,Übersetzung (Deutsch): Über den Tod seines Bruders Satyrus (BKV),1.,3,"Es tritt noch hinzu, daß ich der göttlichen Vorsehung meinen Dank gar nicht verweigern kann: oder muß ich nicht innigere Freude darüber empfinden, einen solchen Bruder gehabt zu haben, als ich vom Schmerz bewegt sein darf, daß ich ihn verlor? Daß ich ihn besaß, war ein Gnadengeschenk; daß ich ihn verlor, war Heimzahlung einer Schuld. Wie ein mir anvertrautes Darlehen habe ich ihn, solange es mir gestattet wurde, behalten: jetzt hat er, der ihn mir anvertraute, ihn zurückgefordert. — Es ist kein Unterschied, ob man das anvertraute Pfand abschwört, oder ob man dem zurückgegebenen nachweint: in beidem liegt eine Verletzung der Treue und damit eine Gefahr für das öffentliche Leben. Es schließt doch eine Schuld ein, wenn man das Darlehen ableugnet? ist es denn Frömmigkeit, wenn man das Opfer vorenthält? Zudem kann man den Darleiher von Geld nochS. 325hintergehen. Der Urheber der Natur aber, der Darleiher aller Lebensbedürfnisse läßt sich nicht täuschen. Je größer und reicher aber nun das Darlehen ist, desto innigere Dankbarkeit muß doch auch der Gebrauch desselben erwecken."
Corpus_cpl-157,Übersetzung (Deutsch): Über den Tod seines Bruders Satyrus (BKV),1.,4,"Ich kann also hinsichtlich des Bruders der Undankbarkeit keinen Raum geben: er hat, was der Natur gemein ist, zurückgegeben; was nur der Gnade eignet, hat er erworben. Wer möchte des allgemeinen Looses sich weigern? Wer darf klagen, daß ein ihm anvertrautes Pfand zurückgefordert wird, da doch der ewige Vater zu unserem Troste seinen eingeborenen Sohn für uns in den Tod dahingegeben hat? Wer darf denn beanspruchen, von dem allgemeinen Loose, zu sterben, ausgenommen zu werden, da er doch Theil hat an dem Loose, geboren zu sein? Das ist ein großes Geheimniß der göttlichen Liebe gegen uns, daß selbst Christus nicht ausgenommen war von dem Tode des Leibes, daß er, obwohl er der Herr der Natur war, doch nicht dem Gesetze des Fleisches, das er angenommen, sich entziehen wollte.Wir müssenja sterben; für ihn bestand keine Nöthigung. Oder konnte er, der von dem Jünger sagte: „Wenn ich nun will, daß er so bleiben soll, bis ich komme“; sollte er selbst nicht haben so bleiben können, wenn er nur gewollt hätte? Aber freilich durch Verlängerung dieses Lebens (des Bruders) hätte er sich den Preis, mir das Opfer genommen. Kann es denn nun einen größeren Trost geben, als dieses, daß auch Christus dem Fleische nach gestorben ist? Oder warum sollte ich zu heftig den hingeschiedenen Bruder beweinen, da ich doch weiß, daß jenes göttliche Erbarmen nicht sterben konnte?"
Corpus_cpl-157,Übersetzung (Deutsch): Über den Tod seines Bruders Satyrus (BKV),1.,,"Als Kaiser Valens im Sommer d. J. 378 durch seine Uebereilung den unglücklichen Ausgang des Gothenkrieges herbeiführte und nach der Niederlage bei Adrianopel seinen Tod unter den Trümmern einer brennenden Hütte, in die er geflüchtet, fand: überströmten die Gothen ganz Thracien und ergoßen sich von da in die anstoßenden reichen Provinzen bis an das adriatische Meer: Grund genug für Oberitalien, gleichfalls das Eindringen der Germanen zu fürchten. Theodosius erst hemmte den verheerenden Siegeszug derselben. — Die obigen Worte beziehen sich auf diese Furcht und geben einen Anhaltspunkt für die Zeitbestimmung der Rede.↩"
Corpus_cpl-157,Übersetzung (Deutsch): Über den Tod seines Bruders Satyrus (BKV),1.,1,"[Die fortlaufende Zählung: 1 bis 80 im 1. Buch und im 2. Buch: 1 bis 135 entspricht der Kapiteleinteilung bei Migne MPl tom. 016 c. 1289-1354C].S. 323Wir haben, geliebteste Brüder, mein Opfer hergeleitet; ein unbeflecktes, Gott wohlgefälliges Opfer: meinenHerrn und Bruder Satyrus. Ich hatte wohl daran gedacht, daß er sterblich sei: und die Ahnung hat mich nicht getäuscht; aber überströmend ist auch die Gnade gewesen. Darum finde ich auch Nichts zu beklagen, aber wohl habe ich Grund genug, Dank zu sagen. Stets war es ja mein Wunsch, daß, wenn Leiden entweder der Kirche oder meiner warteten, dieselben eher auf mich und mein Haus fallen möchten. Gott sei also Dank, daß ich bei dem allgemeinen Bangen, wo Alles von den Unternehmungen der Barbaren gefürchtet wurde,1daß ich da durch persönlichen SchmerzS. 324allgemeines Leid vielleicht beseitigt habe, daß auf mich gewendet ist, was ich für Alle fürchtete. Möchte es damit nur genug sein, damit mein persönlicher Schmerz die Abwendung allgemeinen Leides einschließe!"
Corpus_cpl-157,Übersetzung (Deutsch): Über den Tod seines Bruders Satyrus (BKV),1.,2,"Nichts zwar von Allem, was die Erde besitzt, meine Brüder, hatte für mich einen höheren Werth als ein Bruder, wie Satyrus war; Nichts erschien mir liebenswürdiger, Nichts war mir theurer: aber das, was Alle betrifft, drängt das Persönliche zurück. Ja, hätte Jemand die eigene Meinung des Hingeschiedenen erforschen mögen: er hätte gefunden, daß Jener lieber für Andere den Tod zu erleiden gewillt war, als im eigenen Interesse sein Leben zu erhalten. Ist ja auch gerade deßhalb Christus dem Fleische nachfür Allegestorben, damit wir vergäßen, uns allein zu leben."
